,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
118,119,밥/죽/떡,일상,육류,부침,불고기 장떡피자,https://www.10000recipe.com/recipe/6581386,"3,732",저녁노을,2,30분 이내,초급,"['계란 1개', '고구마 2개', '양파 1개', '불고기 300g', '브로콜리 100g', '밀가루 500g', '홍고추 2개', '찬밥 ', '다진 김치 적당량', '올리브유 ', '우유 ', '소금 ', '설탕 ', '고추장 ', '마요네즈 약간']",명절음식 재활용~ 찬밥으로 만드는 불고기 장떡피자!,"['1. 밀가루, 김치 송송, 계란 하나를 넣습니다.', '2. 고추장 3스푼을 넣고 반죽을 합니다.', '3. 집에 있는 재료를 이용하였습니다. 양파, 붉은고추, 피망(브로콜리 대신)\n고명용입니다.', '4. 고구마 스프레드 만들기 \n삶은 고구마 2개를 체에 으깨고 우유 2큰술, 마요네즈 2큰술, 데친 브로콜리 끝부분 자른 것, 소금 1작은술, 설탕 1작은 술을 섞어둔다.', '5. 김치 넣은 장떡을 조금 두툼하게 후라이팬에 부칩니다.', '6. 찬밥은 깨소금 참기름을 넣고 비벼 장떡 위에 올려줍니다.', '7. 불고기를 올려줍니다.(명절에 먹다 남은 전을 올려도 맛있음)', '8. 고구마스프레드를 올리고 살짝 볶아둔 채소를 올려주면 완성됩니다.']",
119,120,밥/죽/떡,일상,육류,튀김,돈부리 만들기 ,https://www.10000recipe.com/recipe/4516329,"55,413",쭈시,1,30분 이내,초급,"['돈까스 1장', '양파(소) 1개', '양배추 조금', '물 1컵', '가쓰오국물                                                                                또는 국시장국 ', '달걀 2개']","일식집에 꼭 있는 메뉴, 돈부리! 집에서도 쉽게 할 수 있더라구요... 돈가스만 있으면, 생각보다 어렵지 않게 간단하고 특별하게 해먹을 수 있어요.","['1. 양파와 양배추는 가늘게 채썰어 준비합니다.', '2. 돈까스를 노릇하게 튀겨 준비해주세요.(돈까스는 물론 시판용 아무거나 상관 없어요. 하지만 일식집같은 비주얼과 맛을 위해선 좀 두툼한 돈까스가 더 적합해요!)', '3. 물 1컵을 끓이고 끓기 시작하면, 국시장국을 2스푼정도 넣어주세요. 먹어보고 본인 입맛에 싱거우면 조금 더 넣어주세요.(국시장국은 좀 짠편이라 처음부터 많이 넣으시면 너무 짜질거에용! 국시장국이 없다면 다시마육수에 간장이랑 가시오부시를 넣고 육수내 사용하셔도 좋아요.)', '4. 물이 끓으면 채썰어놓은 양파와', '5. 양배추를 넣고 2~3분가량 끓여주세요.', '6. 그럼 양배추와 양파 숨이 좀 죽고 국물은 졸아서 이렇게 된답니다. 이 상태가 되면 불은 제일 약불로 해주세요!', '7. 돈까스가 다 튀겨지면 키친타올을 이용하여 기름을 싹 빼놓고 대기시켜 주세요.', '8. 돈까스를 먹기 좋은 크기로 잘 썰어서', '9. 끓고 있는 양파, 양배추 위에 사진처럼 올려주세요.', '10. 계란 2개를 그릇에서 잘 풀어 돈까스 주위에 뿌려주고,', '11. 뚜껑을 덮어 1~2분가량 익혀주면 완성입닌다. (반숙이 좋으시면 좀 덜 익히시면 되고, 완숙이 좋으시면 더 푹 익혀주세요.)']",
120,121,밥/죽/떡,일상,육류,튀김,일본식 덮밥 돈부리 만들기 ,https://www.10000recipe.com/recipe/6170269,"32,741",클라라,,,,"['가스오브시 육수 500cc', '돈가스 2인분', '달걀 2알', ' ', '대파 ', '피망 ', '오이 ', '당근 ', '샐러리 조금', '양조간장 4스푼', '청주 2스푼', '설탕 1스푼', '물엿 1스푼', '맛술 2스푼']",맛이 일품인 일본식 덮밥 돈부리,"['1. 보통은 마늘과 양파를 사용하지만 매콤한 향을 담고싶어 피망과 대파를 사용했습니다.', '2. 돈가스 2인분 준비하고~', '3. 가스오브시 육수에 돈부리 간장(양념 참고)을 넣어 보글보글 끓여줍니다.', '4. 준비해둔 돈가스도 바삭하게 튀겨주고', '5. 달달한 맛의 돈부리 간장이 바글바글 한소끔 끓으면', '6. 준비해둔 야채들을 넣어 다시 한소끔 끓이고,', '7. 대충 풀어놓은 달걀(2알만)을 넣어 반숙이 되면 불을 끕니다. 위의 분량대로 만들어 놓은 돈부리 간장은 80% 정도만 넣었다가 계란을 넣고 간을 봐서 추가로 가감하면 끝. ^^', '8. 바삭하게 튀겨낸 돈가스는 먹기 좋은 크기로 썰어', '9. 밥 위에 올려 뜨거운 돈부리 양념 소스를 뿌리면 완성~']",
121,122,밥/죽/떡,일상,육류,조림,삼겹살 덮밥 간단 요리 한끼 레시피,https://www.10000recipe.com/recipe/6922268,"10,637",냠냠간단요리,1,10분 이내,초급,"['삼겹살 1줄', '양배추 2국자', '양파 1개', '진간장 3스푼', '설탕 3스푼']",남은 삼겹살의 변신,"['1. 간장3,물3,설탕3 을 넣고 소스를 만들어 준비해 두세요', '2. 양배추,양파는 채썰어 기름두른 팬에 익을때까지 볶아 그릇에 담아 둡니다중불', '3. 삼겹살은 앞뒤로 잘구워 자른후 소스를 넣어 졸여 줍니다중불에서 졸일때는약불로', '4. 밥에 볶은 야채를 넣고 조린 고기를 얹어주면 완성!']","['삼겹살', '고기', '덮밥', '삼겹살덮밥', '양파', '양배추', '밥요리', '볶음밥', '남은고기']"
122,123,밥/죽/떡,일상,육류,조림,차슈덮밥 ~차슈동~삼겹살 간장조림 덮밥 만드는법,https://www.10000recipe.com/recipe/6999779,"3,745",Tina소울푸드,2,60분 이내,중급,"['삼겹살 450g 4줄', '물 400ml', '양파 2개', '간장 7스푼', '설탕 3스푼', '소주 2스푼', '마늘 4톨', '다진 생강 1/2스푼', '다시마 1조각']",삼겹살을 구워 먹을까 했는데 쌈채소가 없어서 왠지 허전하더라구요. 그래서 삼겹살을 간장 소스에 푹 조려줬어요. 삼겹살 기름기 쫘악 빠지고 야들야들 녹을 듯이 부드럽고 간장소스의 달큰 짭짤한 맛이 동파육을 먹는 느낌이예요. 돼지 고기를 구워 간장소스에 조리는 차슈덮밥 같기도 하구요. 차슈는 홍콩 광동어로 차는 돼지고기라는 뜻이고 슈는 굽다라는 뜻이래요. 좀 더 고기의 식감이 겉이 단단한 걸 좋아하면 한 번 구워서 간장소스에 조려주면 되고 아주 부드러운 느낌의 고기가 좋으면 바로 간장소스에 처음 부터 조려주면 좋아요. 달큰 짭쪼롬한 양파와 조림양념을 섞어 밥이랑 먹으면 한그릇요리가 돼요. ​,"['1. 양파를 채썰어 주세요.', '2. 삼겹살을 넓직한 냄비나 프라이팬에 넣고 모든 소스 양념을 다 넣어 주세요', '3. 처음엔 센불에서 끓여 주고 끓기 시작하면 중강불로 줄여 주세요. 다시마가 불어나면 빼주세요.', '4. 고기가 안잠긴 부분은 소스를 숟가락으로 간간이 끼얹어 주면서 20분 정도 조려 주세요.', '5. 마늘 건져 내고 중약불로 줄여 20분 더 조려 주세요. 마지막에 소스가 졸아들도록 불을 세게 올려 5분 정도 끓여 줘요.', '6. 삼겹살을 가위나 칼로 먹기 좋게 썰어 밥위에 고기를 얹어 주세요.', '7. 졸인 양파도 얹어 주고 참깨 뿌리고 마무리해요.']","['돼지고기', '삼겹살요리', '차슈', '차슈뜻', '차슈덮밥', '차슈동', '간장소스에조린삼겹살', '삼겹살양파조림', '삼겹살덮밥', '달큰짭쪼롬한차슈덮밥', '기름기없이부드러운삼겹살요리']"
123,124,밥/죽/떡,일상,육류,조림,부드러운 수비드 차슈덮밥(차슈동) 만들기,https://www.10000recipe.com/recipe/6925103,"9,434",야꿀야식은꿀맛,2,2시간 이상,초급,"['삼겹살 600g', '공깃 밥 적당량', '소금 약간', '후추 약간', '식용유 약간', '물 400ml', '간장 100ml', '맛술 100ml', '설탕 2큰술', '굴 소스 1큰술', '생강 1톨', '후추 분 약간', '양파 1/4개', '생강 절임 약간', '대파 약간', '고추냉이 약간', '계란 노른자 1개']","야식은 꿀맛 야꿀입니다.
오늘은 입에서 살살 녹는 수비드 조리법을 이용한 
차슈덮밥(차슈동)을 만들어 보겠습니다.
자세한 설명은 영상에서 확인하실 수 있습니다.","['1. 생강은 편 썰어 주세요.', '2. 삼겹살은 키친타월로 물기 제거 후 소금, 후추를 뿌려주세요.(저는 허브솔트 이용)', '3. 냄비에 조림장 재료를 넣고 5분간 끓여주세요.', '4. 프라이팬에 기름을 두르고 삼겹살을 색이 나도록 구워주세요.\n(사방면을 골고루 구워주세요. 중불~강불)', '5. 준비된 지퍼팩에 삼겹살과 조림장을 넣어주세요.다른 비닐 쓰셔도 되지만 내열온도를 확인해서 사용하세요.', '6. 설정된 온도가 맞춰지면 재료를 넣어주세요68도에서 20시간 설정', '7. 20시간 후 수비드 된 내용물은 체에 걸러주세요.', '8. 파는 송송 썰어주세요.', '9. 양파는 채 썰어서 물에 담가주세요.', '10. 프라이팬에 체에 거른 조림장 150ml와 삼겹살을 넣고 졸여주세요.사방면을 뒤집으면서 졸여주세요.', '11. 조림장 농도가 어느 정도 나오면 빼주세요.졸인 조림장은 소스로 활용', '12. 졸인 삼겹살은 먹기 좋게 잘라주세요.앞뒤로 톱질하듯 자르면 부서지지 않아요.', '13. 준비된 그릇에 밥과 양파를 올려주세요.양파는 물기 제거', '14. 삼겹살도 보기 좋게 올려주세요.', '15. 위에 준비된 파와 소스도 뿌려주세요.', '16. 기호에 따라 계란 노른자 생강 절임 고추냉이를 넣어주세요.']","['차슈덮밥', '차슈동', '일식', '야식', '삼겹살요리', '삼겹살조림', '야꿀']"
124,125,밥/죽/떡,일상,육류,조림,오늘 뭐먹지 간장삼겹라이스 ,https://www.10000recipe.com/recipe/6831860,"2,940",또다미,1,60분 이내,초급,"['삼겹살 ', '육수다시팩 ', '무 ', '대파 ', '양파 ', '월계수잎 ', '계란노른자 ', '간장 3', '설탕 1.5', '청주 1', '월계수잎 ', '통후추 ', '다진마늘 1']",오늘 뭐먹지에 나온 간장삼겹라이스 소개해 드릴게요.,"['1. 먼저 육수재료를 준비해서 육수부터 우려낸다. 다시팩, 대파, 무를 준비.', '2. 대파는 채를 썰어서 차가운 물에 담궈서 매운기를 뺀다.', '3. 육수가 끓는 사이 삼겹살을 앞뒤로 노릇하게 구워준다. 오늘뭐먹지에서는 통삼겹을 사용했지만 나는 그냥 집에 있던 구이용 삼겹살로 앞뒤를 노릇노릇하게 구웠다.', '4. 분량의 소스를 준비해 둔다. 간장3, 설탕1.5, 청주1, 월계수잎, 통후추, 다진마늘 1 (나무 밥수저 기준) 준비, 원래 레시피엔 간장6, 청주4, 설탕4 로 계량되어있었지만 고기양도 적고 입맛에 맞춰서 조절했음', '5. 팬에 구워진 삼겹살을 넣고, 삼겹살이 잠길 정도로 육수를 부어준후 소스재료를 모두 넣어서 끓여준다.', '6. 소스가 보글보글 끓기 시작하면 썰어둔 양파 한개도 넣어준다.', '7. 오늘뭐먹지에서는 통삼겹이라 40분정도를 푹 끓여줬지만 나는 구이용 얇은 삼겹살을 사용해서 10~15분 정도만 졸여줬다. 삼겹살이 얇아서 거의 익었기때문에 삼겹살에 간장양념이 배일 정도로 끓여주면 된다.', '8. 잘 졸여진 삼겹살은 꺼내서 먹기 좋은 크기로 썰고 토치로 겉면을 한번 그을려준다.', '9. 삼겹살을 건져내고 남은 소스에 전분물을 풀어 걸쭉하게 소스를 만들어준다.', '10. 그릇에 밥 → 대파 → 간장삼겹을 올려주고 계란 노른자만 따로 준비해서 잘 풀어둔다.', '11. 삼겹위에 전분물로 농도를 조절한 소스를 뿌려주고, 계란 노른자를 둘러준다.']",
125,126,밥/죽/떡,일상,육류,비빔,"여고앞 추억의 분식, 매콤달콤~ '치즈밥'",https://www.10000recipe.com/recipe/5445436,"50,059",하나미,,,,[],,[],
126,127,밥/죽/떡,일상,육류,비빔,달래장 훈제오리 비빔밥 만들기,https://www.10000recipe.com/recipe/7001340,714,승승맘h2,2,15분 이내,아무나,"['밥 2공기', '훈제오리 200g', '양배추잎 2장', '달래 80g', '간장 2큰술', '피시소스 1큰술', '들기름 2큰술']",봄 제철 채소인 달래로 만든 양념장은 고소한 오리고기와 잘 어울려요.,"['1. 달래는 손질한 후 먹기 좋게 자르고 피시소스 1큰술, 간장 2큰술, 들기름 2큰술을 넣어 양념장을 만듭니다.달래 80g, 피시소스 1큰술, 간장 2큰술, 들기름 2큰술달래 손질법 레시피', '2. 달군 팬에 훈제오리를 구운 후 가위로 잘게 잘라줍니다.훈제오리 200g', '3. 따뜻한 밥 위에 양배추를 채썰어 올려줍니다.밥 1공기, 양배추잎 2장', '4. 채썬 양배추 위에 잘게 자른 훈제오리를 얹어줍니다.훈제오리 200g', '5. 만든 달래양념장을 얹어줍니다.']","['달래양념장', '달래장', '달래요리', '달래간장', '달래양념장만들기', '달래장만들기', '달래장레시피', '달래장비빔밥', '달래장만드는법', '달래장양념', '달래장요리', '달래간장만들기', '달래간장양념장', '달래간장비빔밥', '달래간장밥', '달래간장양념', '훈제오리요리', '훈제오리소스', '비빔밥양념장', '비빔밥만들기', '비빔밥재료', '비빔밥소스', '달래장비빔밥만들기', '달래간장비빔밥만들기', '달래훈제오리비빔밥', '달래오리비빔밥', '달래훈제오리비빔밥만들기', '달래오리비빔밥만들기', '양념장만들기']"
127,128,밥/죽/떡,일상,육류,비빔,장조림이 있다면 요건 필수 장조림버터비빔밥,https://www.10000recipe.com/recipe/6836587,"13,386",예쁜포비,2,30분 이내,초급,"['밥                                                                                2인분 ', '달걀 3개', '장조림 100g', '4큰술 ', '어린잎 채소 2줌', '조미김가루 2큰술', '식용유 약간', '버터 2큰술', '장조림 국물 2큰술', '소금 약간']",집에 밑반찬이 없어도 너무 없어서 주말에 돼지고기 장조림을 했습니다. 장조림이 있으면 꼭 만들어 먹어야 하는 것이 바로 장조림버터비빔밥 입니다. 예전에 스쿨푸드에서 자주 먹었던 메뉴이기도 한데 스쿨푸드에서는 특유의 꼬들꼬들한 무짱아지를 넣어 씹는 식감이 맛을 더 해 주지요. 하지만 전 집에 나라스께(외장아찌)가 있어서 대신 사용해 주었고.. 후리가케 대신 조미김 가루를 뿌려 주었습니다. 집에 있는 것을 응용해서 만드시면 됩니다.,"['1. 장아찌는 잘게 다져 주시고 조미김은 비닐에 넣고 손으로 마구 비벼 가루로 만들어 주었습니다.', '2. 달걀은 소금을 살짝 넣은 후 거품기로 잘 풀어서 달군 팬에 식용유를 살짝 두른 후 달걀물을 붓고 나무젓가락을 이용해서 마구 저어 스크램블 에그를 만들어 주었습니다. 달걀이 살짝 덜 익었을 때 불에서 내리면 잔열로 부드럽게 잘 익습니다.', '3. 뜨거운 밥을 밥공기에 넣고 가운데에 버터 1큰술을 넣은 후 다시 밥으로 덮어 주었습니다. 버터가 들어가면 고소하니 맛있습니다.', '4. 넓은 그릇에 밥공기를 뒤집어 올린 후 살며시 빼 주시면 사진처럼 밥만 봉긋하게 올라갑니다.', '5. 그 위에 스크램블 에그, 장조림, 장아찌, 김가루, 새싹채소, 장조림 국물을 넣고 스~윽 비벼 드시면 됩니다.']",
128,129,밥/죽/떡,일상,육류,비빔,쭈~욱 쭉 늘어나는 치즈가 매력적인 치즈밥 레시피,https://www.10000recipe.com/recipe/6344769,"17,383",하나미,1,15분 이내,초급,"['밥 1공기', '김치 ', '캔옥수수 ', '베이컨                                                                                or돼지고기 ', '피자치즈 ', '고추장 1큰술', '케찹 1.5큰술', '설탕 0.5큰술', '김가루 ']",분식집에서 파는 치즈밥을 집에서도 간단히 만들 수 있는 레시피입니다.,"['1. 고추장 1큰술, 케찹 1.5큰술, 설탕 0.5 큰술을 섞어 양념장을 만듭니다.', '2. 캔옥수수는 물기를 제거하고 김치와 김은 잘게 썰어 준비합니다.', '3. 돼지고기 혹은 베이컨을 잘게 썰어 기름에 볶아 준비합니다.', '4. 미리 만들어준 양념장을 밥에 비벼 줍니다.', '5. 달군 돌솥에 버터를 넣고 밥, 김치, 옥수수, 돼지고기를 차례로 얹습니다. 마지막으로 피자치즈를 듬뿍 올려 줍니다.', '6. 이대로 뚜껑을 덮어서 타닥 타닥 소리가 날때까지 익혀주고 마무리로 김을 얹으면 완성입니다.']",
129,130,밥/죽/떡,일상,육류,비빔,다이어트 레시피- 오리고기 포케 레시피 오리엔탈드레싱,https://www.10000recipe.com/recipe/7037080,770,열려라쿡,1,15분 이내,초급,"['오리고기 50g', '현미밥 조금', '상추 취향껏', '오이 취향껏', '방울토마토 취향껏', '양파 조금', '적양배추 조금', '크래미 1개', '마늘칩 1스푼', '올리고당 1스푼', '레몬즙 1스푼', '올리브유 1스푼', '식초 1스푼', '간장 1스푼', '참기름 1스푼', '와사비 조금', '다진 마늘 0.5스푼']",간단하게 만들기 좋은 다이어트 레시피 오리고기 포케를 소개 드려요.,"['1. 포케 샐러드 소스 만들기. 올리고당 1스푼, 레몬즙 1스푼, 올리브유 1스푼, 식초 1스푼, 간장 1스푼, 참기름 1스푼, 와사비 조금, 다진 마늘 0.5스푼을 넣고.소스볼 , 계량스푼', '2. 잘 섞어주세요.', '3. 포케에 넣을 채소들을 다양하게 준비해주고 먹기 좋게 손질해 주세요. 저는 상추, 오이, 방울토마토, 양파, 적양배추를 준비해 보았고 크래미도 준비해 결대로 찢어주었어요. 그 외 옥수수콘, 아보카도 등등 다양하게 활용해 보세요!!도마 , 조리용나이프상추 손질법', '4. 오리고기는 끓는 물에 살짝 데쳐 주세요. 오리고기 대신 닭가슴살을 넣어도 좋아요!!냄비 , 채반', '5. 상추를 잘라 그릇 바닥에 깔고 현미밥 조금 올리고 손질한 오이, 방울토마토, 양파, 적양배추, 크래미, 마늘 칩 순서대로 올려주세요. 데친 오리고기까지 올려주면 최종 완성이 되는 오리고기 포케. 플레이팅접시']","['오리고기', '포케', '오리고기포케', '다이어트', '샐러드']"
130,131,밥/죽/떡,일상,육류,비빔,장조림 버터비빔밥,https://www.10000recipe.com/recipe/3764442,"29,090",예쁜포비,2,15분 이내,초급,"['밥 2공기', '장조림 80g', '무장아찌 1/2컵', '달걀 3개', '포도씨유 약간', '무염버터 2큰술', '후리가케 2큰술', '장조림국물 2큰술', '소금 약간']",짭쪼름한 장조림과 고소한 버터가 만난 장조림 버터비빔밥입니다.,"['1. 장조림은 잘게 찢어 주시고 무장아찌도 먹기 좋은 크기로 잘라 주세요.', '2. 버터와 달걀도 준비해 주세요.', '3. 팬에 포도씨유를 두른 후 소금을 넣고 풀은 달걀을 넣어 주세요. 나무 젓가락으로 스크럼블을 만들듯이 약불에서 휘휘 저어 주시다가 달걀이 익으면 불에서 내려 주세요.', '4. 밥 공기에 뜨거운 밥을 넣고 버터 1큰술과 장조림 국물 1큰술을 넣어 주세요.', '5. 다시 비빔밥용 접시에 뒤집어 업은 뒤 장조림과 무장아찌를 올려 주세요.', '6. 달걀지단을 올린 뒤 약간의 고명으로 장조림과 무장아찌를 올린 후 마지막으로 후리가케를 뿌려 주시면 됩니다.']",
131,132,밥/죽/떡,일상,육류,비빔,매콤달콤 치즈밥,https://www.10000recipe.com/recipe/5920169,"25,923",하나미,,,,"['밥 1공기', '김치 ', '콘 ', '베이컨 ', '피자치즈 ', '김 ', '고추장 1T', '케찹 1.5T', '설탕 0.5T']",여고앞 추억의 분식,"['1. 양념장을 만들어주세요.', '2. 치즈밥에 들어갈 재료들을 준비해주세요. \n돼지고기는 꼭 안들어가도 되는데 베이컨대신 준비했구요.', '3. 미리 만들어준 양념장을 밥에 비벼 주세요. \n이렇게만 준비하면 재료 준비 끝이에요.', '4. 돌솥에 버터를 깔아 주세요.', '5. 그 위에 양념장에 비빈 밥을 올려주세요. \n그리고 김치와 콘, 돼지 고기를 차례 차례 올려 주세요.', '6. 마지막으로 치즈 밥에서 절대 빼 놓을 수 없는 치즈!! \n피자 치즈를 듬~~뿍 올려 주세요.', '7. 이대로 뚜껑을 덮어서 타닥 타닥 소리가 날때까지 익혀 주세요.', '8. 치즈가 녹을 때까지 익혀주면 치즈밥 완성! \n정말 간단하게 한끼식사가 완성이 됐어요. \n먹음직스러워 보이지 않나요? 마지막으로 김을 고명으로 올려 주세요.']",
132,133,밥/죽/떡,일상,육류,비빔,"28개월 간단식사, 날치알 장조림김밥",https://www.10000recipe.com/recipe/4591396,"24,487",봉자바리,2,30분 이내,초급,"['날치알 ', '장조림 ', '달걀 1개', '브로컬리 ', '치즈 ', '김밥용김 ', '밥 1공기', '참기름 약간']",톡톡 터지는 날치알이 재밌는 김밥~,"['1. 날치알은 맛술이나 청주에 담궈 두었다가 흐르는 물에 씻어내줍니다. 그래야 날치알 특유의 맛이 사라집니다.', '2. 달걀 1개는 스크럼블해서 준비해주시고 장조림과 데친 브로컬리는 잘게 다져서 준비해주시고 치즈도 김밥위에 올릴크기로 잘라서 준비합니다.', '3. 고슬고슬 지은밥 한공기에 준비해둔 재료 넣고 참기름 휙~둘러서 섞어줍니다. 치즈는 나중에 올려줄꺼예요~ 장조림 국물 살짝 넣어주면서 섞어 주세요. 간도 맞춰주고 너무 되지 않게 해줍니다', '4. 이렇게 잘 섞어준 밥은 김밥용 김을 4등분해서 얌전히 잘 싸줍니다.', '5. 이렇게 완성~ 김밥 썰고 치즈 올려주어 완성해주세요.']",
133,134,밥/죽/떡,일상,육류,비빔,장조림버터 비빔밥,https://www.10000recipe.com/recipe/6662813,"4,457",행운77,1,10분 이내,아무나,"['장조림 ', '달걀 ', '김치볶음 ', '버터 ', '어린잎채소                                                                                선택 ']",냉장고 청소를 하다보면 안쪽에 조금씩 남아 버리게 되는 반찬들이 꼭 있기 마련인데 단 한 번도 버린 적 없는 반찬이 있어요~ 바로 소고기 장조림이 그것인데요~ 장조림을 먹는 중간중간 추억의 장조림 버터비빔밥을 만들어 먹기 때문이죠~,"['1. 달걀 후라이보단 먹기 편한 달걀스크램블을 이용해요~ 볶은김치도 준비해줍니다.', '2. 방금 지은 따뜻한 밥에 버터 한덩어리 파묻고...', '3. 달걀스크램블을 밥위에 덮고', '4. 장조림과 볶은김치, 어린잎채소를 올려 마무리했어요~']",
134,135,밥/죽/떡,일상,육류,비빔,장조림 버터 비빔밥,https://www.10000recipe.com/recipe/3720391,"11,713",윤,,,,"['닭가슴살 1캔', '물 1컵', '계란 2개', '간장 2큰술', '올리고당 1큰술', '후추 약간', '버터 1큰술']",오늘은 어릴적 엄마가 가끔씩 해주시던 장조림. 버터 비빔밥을 소개해 드리려고 합니다.,"['1. 닭가슴살 1캔은 기름기를 따라낸후 냄비에 담고 물1컵. 간장 2큰술. 올리고당 1큰술. 후추 조금을 넣고 국물이 자박자박 해지도록 졸여 주시면 됩니다', '2. 계란 2개에 소금조금을 넣고 거품기로 풀어준뒤 망에 걸러 알끈을 제거합니다. 이때 물 3큰술. 혹은 우유을 조금 넣어주면 더욱 부드럽습니다.', '3. 뜨거운 밥위에 스크램블과 버터 1큰술 가량을 올려주세요', '4. 장조림도 올려주고.. 장조림 국물도 1-2큰술 정도 넣어주면 밥 비빌때 간이 베어 더욱 맛이 좋습니다.']",
135,136,밥/죽/떡,일상,육류,비빔,스테이크 비빔밥,https://www.10000recipe.com/recipe/1655700,"4,172",행복나무,2,15분 이내,초급,"['쇠고기 목심 1덩이', '파프리카 ', '깻잎 ', '새싹 ', '고추장 2큰술', '매실조청 1큰술', '맛술 1큰술', '식초 2큰술', '마늘 1큰술', '깨 ', '다진마늘 1큰술', '간장 2큰술', '맛술 1큰술', '후추 ', '월계수잎 ']",든든한 한 끼 스테이크 비빔밥입니다.,"['1. 소고기에 분량의 양념을 넣고 재워줍니다.', '2. 밑간된 쇠고기를 앞뒤로 굽고 비빔장을 만듭니다.', '3. 밥에 씻어준비한 야채를 넣고 고기를 올려주면 끝.']",
136,137,밥/죽/떡,일상,육류,비빔,"장조림버터비빔밥, 잔반처리용 한그릇요리로 최고~!!!",https://www.10000recipe.com/recipe/6835555,"3,433",행운77,1,15분 이내,초급,"['장조림 100g', '볶은김치 ', '달걀 2개', '베이비채소 1줌', '버터 1작은술']",장조림버터비빔밥입니다.,"['1. 무말랭이무침이 있을 땐 볶은김치 대신 활용하심 좋아요. 그런데 볶은김치가 장조림과 더 잘 어울리더라고요.', '2. 여기에 간단히 스크램블에그만 준비해주세요.', '3. 그릇에 따뜻한 밥을 담고 가운데에 버터 한덩어리를 포옥 파묻어요.', '4. 가장자리에 스크램블에그 담고 장조림에 들어간 소고기, 꽈리고추, 볶은김치를 올리고 베이비채소로 파릇함을 살려주어요.', '5. 완성입니다.']",
137,138,밥/죽/떡,일상,육류,비빔,소고기주먹밥 만드는 법 초간단 영양식 소고기주먹밥 레시피,https://www.10000recipe.com/recipe/7043046,834,나유,4,30분 이내,초급,"['소고기                                                                                다짐육 ', '당근 100g', '공기밥 3공기', '올리브오일                                                                                소고기 당근 볶음용 ', '소금                                                                                소고기 당근 볶음용 ', '김가루 10g', '통깨                                                                                가루 ', '참기름 3T']","주먹밥은 아이들이 참 좋아하는 메뉴죠, 오늘은 소고기를 사용하여 영양도 가득하고 맛있는 초간단 주먹밥을 만들어요^^ 만든 순간 아이들 입속으로 사라집니다","['1. 소고기(다짐육) 250g, 당근 100g 잘게 다져서 준비합니다트레이 , 찬기', '2. 예열한 팬에 올리브유 1T 넣고 당근에 소금 2꼬집 넣은 후 볶아줍니다후라이팬 , 조리주걱', '3. 예열한 팬에 올리브유 1T 넣고 소고기에 소금 2꼬집 넣은 후 볶아줍니다', '4. 믹싱볼에 공기밥 3공기, 당근볶음, 소고기 볶음을 넣어줍니다볼', '5. 김가루 10g, 통깨(가루) 1.5T, 참기름 3T 넣어줍니다', '6. 양념이 골고루 섞이도록 Mix 합니다 이때, 간을 보고 부족하면 김가루 혹은 소금을 조금 추가합니다', '7. 초간단 영양식 소고기주먹밥 완성입니다접시']","['초간단주먹밥', '소고기주먹밥', '영양주먹밥', '소고기당근주먹밥', '주먹밥레시피']"
138,139,밥/죽/떡,일상,육류,비빔,한그릇 요리 약고추장 비빔밥 ,https://www.10000recipe.com/recipe/6801635,"4,467",인천서현,1,30분 이내,중급,"['돼지고기 다짐육 500g', '양파 1/2개', '고추장 4큰술', '매실액 1큰술', '꿀 2큰술', '후춧가루 약간', '참기름 ', '통깨 1큰술', '간장 ', '꿀 ', '다진마늘 1큰술', '맛술 2큰술', '후춧가루 약간']",반찬 고민일 때 만만한 한그릇 요리. 집에 있는 채소랑 다짐육 달달 볶아 약고추장 넣어 비빔밥 만들었더니 요거 별미네요.,"['1. 다짐육 250g에 간장, 맛술, 다진마늘, 후춧가루를 넣어 조물조물 양념해 30분 정도 재워주어요.', '2. 비빔밥에 넣을 채소는 집에 있는거 위주로 하다보니 양파, 적양파, 당근, 호박, 표고버섯 채썰어 준비해 놓았어요.', '3. 채 썰어 놓은 채소를 따로 따로 볶으면서 소금 살짝 간 해 주었어요.', '4. 양념해 놓은 다짐육을 볶아 주어요.', '5. 채소 5가지와 다짐육 볶아 놓았더니 완전 푸짐하네요.', '6. 남은 돼지고기 250g에 분량의 재료 넣고 약고추장 만들어주세요.', '7. 그릇에 갓 지은 밥을 담고 볶아 놓은 채소랑 볶은 다짐육을 돌려 담으면 완성입니다. 만들어둔 약고추장을 곁들여 드세요.']",
